Load_Zone,Latitude,Longitude,State,System,Regional Control Area
ACAPULCO,16.908377,-99.76135,Guerrero,SIN,Oriental
AGUASCALIENTES,21.818281,-102.337186,Aguascalientes,SIN,Occidental
APATZINGAN,18.98629,-102.512985,Michoacan,SIN,Occidental
CABORCA,30.800983,-112.674476,Sonora,SIN,Noroeste
CAMARGO,27.970198,-103.981286,Chihuahua,SIN,Norte
CAMPECHE,19.245354,-89.906066,Campeche,SIN,Peninsular
CANCUN,21.240303,-87.08783,Quintana Roo,SIN,Peninsular
CARMEN,18.236467,-91.27681,Campeche,SIN,Peninsular
CASAS GRANDES,30.100618,-108.069545,Chihuahua,SIN,Norte
CELAYA,20.53792,-100.772745,Guanajuato,SIN,Occidental
CENTRO ORIENTE,20.071962,-98.782575,Hidalgo,SIN,Central
CENTRO SUR,19.067916,-99.908527,Guerrero,SIN,Central
CHETUMAL,18.799403,-88.819686,Quintana Roo,SIN,Peninsular
CHIHUAHUA,28.969616,-106.415918,Chihuahua,SIN,Norte
CHILPANCINGO,17.490956,-99.688599,Guerrero,SIN,Oriental
CHONTALPA,18.276861,-93.647558,Tabasco,SIN,Oriental
CIENEGA,20.264903,-103.149907,Jalisco,SIN,Occidental
COATZACOALCOS,18.114605,-94.492868,Veracruz,SIN,Oriental
COLIMA,19.121378,-103.645882,Colima,SIN,Occidental
CORDOBA,18.937802,-96.940225,Veracruz,SIN,Oriental
CUAUHTEMOC,27.562909,-106.963823,Chihuahua,SIN,Norte
CUAUTLA,18.838992,-98.956125,Morelos,SIN,Oriental
CUERNAVACA,18.943532,-99.294043,Morelos,SIN,Oriental
CULIACAN,24.588852,-107.338858,Sinaloa,SIN,Noroeste
DURANGO,24.123876,-104.511192,Durango,SIN,Norte
FRESNILLO,23.31614,-103.06054,Zacatecas,SIN,Occidental
GUADALAJARA,20.705284,-103.382236,Jalisco,SIN,Occidental
GUASAVE,25.504532,-108.532984,Sinaloa,SIN,Noroeste
GUAYMAS,28.118062,-110.975489,Sonora,SIN,Noroeste
HERMOSILLO,29.08534,-111.414327,Sonora,SIN,Noroeste
HUAJUAPAN,17.989428,-97.831259,Oaxaca,SIN,Oriental
HUASTECA,21.907427,-98.86999,Tamaulipas,SIN,Noreste
HUATULCO,15.804282,-96.281717,Oaxaca,SIN,Oriental
HUEJUTLA,21.097878,-98.451706,Hidalgo,SIN,Noreste
IGUALA,18.149036,-99.591134,Guerrero,SIN,Oriental
IRAPUATO,20.692328,-101.377964,Guanajuato,SIN,Occidental
IXMIQUILPAN,20.534957,-99.227645,Hidalgo,SIN,Occidental
IZUCAR,18.53757,-98.440594,Puebla,SIN,Oriental
JIQUILPAN,19.999522,-102.794217,Michoacan,SIN,Occidental
JUAREZ,31.193096,-106.507402,Chihuahua,SIN,Norte
LAGUNA,25.133208,-104.624865,Durango,SIN,Norte
LAZARO CARDENAS,18.045951,-102.305236,Michoacan,SIN,Central
LEON,21.125919,-101.626021,Guanajuato,SIN,Occidental
LOS ALTOS,21.33097,-102.320562,Jalisco,SIN,Occidental
LOS MOCHIS,25.762692,-109.082714,Sinaloa,SIN,Noroeste
LOS RIOS,17.368485,-91.969317,Tabasco,SIN,Oriental
LOS TUXTLAS,18.658746,-95.921689,Veracruz,SIN,Oriental
MANZANILLO,19.154384,-104.245005,Colima,SIN,Occidental
MATAMOROS,25.611232,-97.511738,Tamaulipas,SIN,Noreste
MATEHUALA,23.535892,-100.633072,San Luis Potosi,SIN,Occidental
MAZATLAN,23.472749,-106.371885,Sinaloa,SIN,Noroeste
MERIDA,20.912061,-89.857817,Yucatan,SIN,Peninsular
MINAS,21.389253,-103.53152,Jalisco,SIN,Occidental
MONCLOVA,26.895779,-101.170506,Coahuila,SIN,Noreste
MONTEMORELOS,25.145725,-99.864381,Nuevo Leon,SIN,Noreste
MONTERREY,25.644309,-100.296249,Nuevo Leon,SIN,Noreste
MORELIA,19.669199,-101.302397,Michoacan,SIN,Occidental
MORELOS,18.929816,-98.720404,Morelos,SIN,Oriental
MOTUL TIZIMIN,21.363962,-88.336375,Yucatan,SIN,Peninsular
NAVOJOA,27.083446,-109.400323,Sonora,SIN,Noroeste
NOGALES,31.176912,-110.778314,Sonora,SIN,Noroeste
NUEVO LAREDO,27.45752,-99.654368,Tamaulipas,SIN,Noreste
OAXACA,16.486975,-96.145221,Oaxaca,SIN,Oriental
OBREGON,27.33098,-109.979895,Sonora,SIN,Noroeste
ORIZABA,18.835761,-97.146256,Veracruz,SIN,Oriental
PIEDRAS NEGRAS,28.767161,-100.602636,Coahuila,SIN,Noreste
POZA RICA,20.504157,-97.460241,Veracruz,SIN,Oriental
PUEBLA,19.052086,-98.181171,Puebla,SIN,Oriental
QUERETARO,20.720935,-100.446748,Queretaro,SIN,Occidental
REYNOSA,25.75839,-98.38613,Tamaulipas,SIN,Noreste
RIVIERA MAYA,20.025934,-87.750336,Quintana Roo,SIN,Peninsular
SABINAS,27.978921,-101.154217,Coahuila,SIN,Noreste
SALTILLO,24.931643,-101.146032,Coahuila,SIN,Noreste
SALVATIERRA,20.190692,-100.942691,Guanajuato,SIN,Occidental
SAN CRISTOBAL,16.890664,-91.984405,Chiapas,SIN,Oriental
SAN JUAN DEL RIO,20.380438,-100.028695,Queretaro,SIN,Occidental
SAN LUIS POTOSI,22.351407,-100.944139,San Luis Potosi,SIN,Occidental
SAN MARTIN,19.024119,-98.318682,Puebla,SIN,Oriental
TAMPICO,22.285993,-97.905191,Tamaulipas,SIN,Noreste
TAPACHULA,15.280755,-92.263279,Chiapas,SIN,Oriental
TECAMACHALCO,18.852793,-97.718043,Puebla,SIN,Oriental
TEHUACAN,18.483641,-97.427944,Puebla,SIN,Oriental
TEHUANTEPEC,16.346316,-95.19523,Oaxaca,SIN,Oriental
TEPIC VALLARTA,21.336051,-105.0249,Nayarit,SIN,Occidental
TEZIUTLAN,19.880453,-97.384669,Puebla,SIN,Oriental
TICUL,20.220298,-88.918285,Yucatan,SIN,Peninsular
TLAXCALA,19.329044,-98.278583,Tlaxcala,SIN,Oriental
TUXTLA,16.664135,-93.352796,Chiapas,SIN,Oriental
URUAPAN,19.434026,-102.200262,Michoacan,SIN,Occidental
VDM CENTRO,19.406954,-98.853395,Mexico,SIN,Central
VDM NORTE,19.75021,-99.302955,Mexico,SIN,Central
VDM SUR,19.361631,-99.048761,Distrito Federal,SIN,Central
VERACRUZ,19.210233,-96.226945,Veracruz,SIN,Oriental
VICTORIA,23.80158,-99.277201,Tamaulipas,SIN,Noreste
VILLAHERMOSA,18.413421,-92.661221,Tabasco,SIN,Oriental
XALAPA,19.525098,-96.897861,Veracruz,SIN,Oriental
ZACAPU,19.893724,-101.889532,Michoacan,SIN,Occidental
ZACATECAS,22.720137,-102.747886,Zacatecas,SIN,Occidental
ZAMORA,20.055274,-102.292578,Michoacan,SIN,Occidental
